Name,Position,Duration,0 - Point Level,A1: Server,A2: Serve Data,A3: Serve Placement,B1: Returner,B2: Return Data,B3: Return Placement,C1: Serve +1 Stroke,C2: Serve +1 Data,C3: Serve +1 Placement,D1: Return +1 Stroke,D2: Return +1 Data,D3: Return +1 Placement,E1: Last Shot,E2: Last Shot Winner,E3: Last Shot Error,E4: Last Shot Placement,F1: Point Won,F2: Point Score,G1: Rally Length,G2: Total Strokes,H1: Server Net,H2: Returner Net,I1: Winner Type,I2: Error Type,J1: Break Point,J2: Set Point,J3: Match Point,K1: Deuce/Ad,K2: Game Score,L1: Set Number,L2: Game Number,M1: Serve Speed,M2: Serve Number,N1: First Serve In,N2: Second Serve,O1: Return Quality,O2: Return Depth,P1: Approach Shot,P2: Passing Shot,Q1: Court Position Server,Q2: Court Position Returner,R1: Dominant Hand Server,R2: Dominant Hand Returner,S1: Time Between Points,T1: Video Timestamp,T2: Frame Number,U1: Confidence Score,V1: Notes,V2: Tags,W1: Weather Conditions,W2: Court Surface,X1: Player 1 Name,X2: Player 2 Name,Y1: Tournament,Y2: Round,Z1: Serve Contact Depth,Z2: Return Contact Depth,Z3: Serve +1 Contact Depth
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,00:00.000,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,00:00.033,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,00:00.067,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,00:00.100,3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,00:00.133,4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,00:00.167,5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,00:00.200,6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,00:00.233,7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,00:00.267,8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,00:00.300,9,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,00:00.333,10,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,00:00.367,11,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,00:00.400,12,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,00:00.433,13,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,00:00.467,14,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,00:00.500,15,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,00:00.533,16,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,00:00.567,17,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,00:00.600,18,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,00:00.633,19,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,00:00.667,20,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,00:00.700,21,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,00:00.733,22,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,00:00.767,23,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,00:00.800,24,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,00:00.833,25,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,00:00.867,26,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,00:00.900,27,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00:00.933,28,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00:00.967,29,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,00:01.000,30,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,00:01.033,31,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,00:01.067,32,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,00:01.100,33,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,00:01.133,34,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,00:01.167,35,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,00:01.200,36,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,00:01.233,37,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,00:01.267,38,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,00:01.300,39,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,00:01.333,40,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,00:01.367,41,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,00:01.400,42,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,00:01.433,43,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,00:01.467,44,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,00:01.500,45,,,,,,,,,,,,
